question,answer
"I'm supposed to get a list of names from you, my lord. Anyone who might testify on your behalf."," Oh, I can call my own witnesses? How generous of them. Very well, my wife. Sansa."
"My lord, she's gone.", Gone?
No one's seen her since the wedding. You don't think she...," No one had more 'cause to kill Joffrey than Sansa, but the girl is no assassin. Whoever killed the king wanted me to lose my head for it. And with my wife's disappearance, it makes me seem that much more guilty. Podrick."
"Yes, my lord?", They'll be following you now.
Who will?," I don't know. They. They. The ominous they. The man pulling the strings. Or woman. My father. Maybe Joffrey was too much work for him. Sweet Tommen will be so much easier to handle. Whenever something bad happens to me, I assume it's my sister that had a hand in it. But say what you will of Cersei, she loves her children. She is the only one I'm certain had nothing to do with this murder. Which makes it unique as King's Landing murders go."
"Any other witnesses, my lord?", Varys could vouch for me if he dared.
He's already been called as a witness for the queen., Of course. Fetch Bronn. I have a job for him.
"I've already asked, my lord. They won't let him see you.", Why not?
They say he's a known cutthroat and your close associate. He's under investigation himself., And my brother? Will they at least allow me to see Jaime?
"There's something else, my lord. A man, I didn't know his face, he came to ask if I'd testify against you. Said I'd be named Ser Podrick Payne if I told the judges you'd bought a poison called the Strangler.", Ser Podrick Payne? Has a nice ring to it. What did you tell him?
"I didn't tell them anything, my lord.", Are you going to accept their offer?
My lord.," Testifying against me wasn't a suggestion. If they can't tempt you with honey, they'll choose something less sweet."
"You've been good to me, my lord."," Pod, the trial's in a fortnight. They'll want an answer before that."
"I already gave them an answer, my lord."," I will not have you dying on my behalf. Do you hear me? If I have to take that long walk to the executioner's block, I don't want to see your head already mounted."
My lord.," Pod, I am giving you an order. Go and find my brother. Tell him I need him. And get yourself out of King's Landing before it's too late. Pod! This is farewell."
"To tell you the truth, this isn't so bad. Four walls. A pot to piss in. I was chained to a wooden post covered in my own shit for months.", Is that supposed to make me feel better?
Maybe a bit. I'm sorry I didn't come sooner.," It's complicated, yes. So how is our sister?"
How do you think? Her son died in her arms., Her son?
Don't. You know what's coming?," My trial for regicide.Yes, I know. I know the whole bloody country thinks I'm guilty. I know that one of my three judges has wished me dead more times than I can count. And that judge is my father. As for Cersei, well, she's probably working on a way to avoid a trial altogether by having me killed."
"Now that you mention it, she did ask."," So, should I turn around and close my eyes?"
Depends. Did you do it?, The Kingslayer brothers. You like it? I like it. You're really asking if I killed your son?
Are you really asking if I'd kill my brother? How can I help you?," Well, you could set me free."
You know I can't., Then there's really nothing else to say.
What do you want me to do? Kill the guards? Sneak you out of the city in the back of a cart? I'm the Lord Commander of the Kingsguard.," Sorry, I'd forgotten. I'd hate for you to do something inappropriate."
Inappropriate? You're accused of killing the king.Freeing you is treason., Except I didn't do it.
Not just yours. She's offering a knighthood to whomever finds Sansa Stark., Sansa couldn't have done this. She had more reason than anyone in the Seven Kingdoms. Do you think it's a coincidence she disappeared the same night Joffrey died?
Father's orders.," Well, we mustn't disappoint Father."
"Tyrion of the House Lannister, you stand accused by the Queen Regent of regicide. Did you kill King Joffrey?", No.
"Did your wife, the Lady Sansa?", Not that I know of.
"How would you say he died, then?", Choked on his pigeon pie.
So you would blame the bakers?, Or the pigeons. Just leave me out of it.
"Once we'd got King Joffrey safely away from the mob, the Imp rounded on him. He slapped the king across the face and called him a vicious idiot and a fool. It wasn't the first time the Imp threatened Joffrey. Right here in this throne room, he marched up those steps and called our king a halfwit. Compared His Grace to the Mad King and suggested he'd meet the same fate. And when I spoke in the king's defense, he threatened to have me killed."," Oh, why don't you tell them what Joffrey was doing?"
Silence., Pointing a loaded crossbow at Sansa Stark while you tore at her clothes and beat her.
I discovered he'd been keeping whores in the Tower of the Hand. I asked him to confine his salacious acts to the brothel where such behavior belongs. He wasn't pleased., (shakes his head)
One.," You once said that without me, this city would have faced certain defeat. You said the histories would never mention me, but you would not forget. Have you forgotten, Lord Varys?"
You're going to be found guilty.," Oh, you think so?"
Do you trust me?, (nods)
"I did everything he wanted. Whatever he told me to do to him. Whatever he felt like doing to me. I kissed him where he wanted. I licked him where he wanted. I let him put himself where he wanted. I was his property. I would wait in his chambers for hours so he could use me when he was bored. He ordered me to call him ""my lion,"" so I did. I took his face in my hands and said, ""I am yours and you are mine.""", Shae. Please don't.
Tyrion. Do you wish to confess?," Yes, Father. I'm guilty. Guilty. Is that what you want to hear?"
You admit you poisoned the king?," No, of that I'm innocent. I'm guilty of a far more monstrous crime. I am guilty of being a dwarf."
You are not on trial for being a dwarf.," Oh, yes, I am. I've been on trial for that my entire life."
Have you nothing to say in your defense?," Nothing but this-- I did not do it. I did not kill Joffrey, but I wish that I had."
"(To Cersei) Watching your vicious bastard die gave me more relief than 1,000 lying whores.", (To the crowd) I wish I was the monster you think I am. I wish I had enough poison for the whole pack of you. I would gladly give my life to watch you all swallow it.
Ser Meryn. Ser Meryn. Escort the prisoner back to his cell., I will not give my life for Joffrey's murder. And I know I'll get no justice here. So I will let the gods decide my fate. I demand a trial by combat.
I made a deal for you to keep your ungrateful head on your ungrateful neck a little while longer.," I'm sorry, what am I grateful for? The opportunity to live and die at the Wall as punishment for a crime I did not commit?"
"You threw your life away. You threw it away. It's not a joke. You understand that, don't you?"," Of course it's a joke, just not a very funny one. I couldn't- I couldn't listen to her standing there telling her lies. I couldn't do it."
You fell in love with a whore.," Yes, I fell in love with a whore. And I was stupid enough to think that she had fallen in love with me. That deal you made, it was everything Father wanted. You do see that? He gets you back as his heir. The future Lord of the Rock. And he ships me off to Castle Black, out of sight at last. All so perfect. It felt good to take that from him. He knows I'm innocent and he's willing to sacrifice me anyway. He's willing to sacrifice any of us. Not you. You're the golden son. You could kill a king, lose a hand, fuck your own sister, you'll always be the golden son."
Careful. I'm the last friend you've got., At least I got to tell them what they really are.
"Yes, brilliant speech. They'll be talking about it for days to come. I thought you were a realist. Didn't realize you'd die for pride."," Don't give up on me just yet. I survived one trial by combat, even though you weren't there to save me."
I can't save you this time either. My training has proved that I can't beat a stable boy with my left hand.," Where's your sense of adventure? Even if you lose, imagine the look on Father's face when you fall."
(laughs), Our family name snuffed out with a single swing of the sword.
It is tempting.," Well... Bronn fought for me once, he'll do it again. If he wins, I expect I'll be in his debt for the rest of my life."
If he wins., Will you find him for me? Who does Cersei plan on naming as a champion? I hope it's Ser Meryn Trant. I'd enjoy watching Bronn disembowel that pompous child beater.
My lord., You have new clothes.
Do you like 'em? Eh? Gloves are doeskin. Softer than a virgin's thighs., I sent for you days ago.
I've been a bit busy., Doing what?
My lonesome bachelor days are over. I'm to wed Lollys Stokeworth., Lollys Stokeworth? She doesn't strike me as your sort of girl.
I wouldn't say I had a single sort of girl., She's dim-witted.
"If I wanted wits, I'd marry you."," When my sister arranged this love match, did she mention that Lollys has an older sister?"
"Falyse. Aye, I did know about the older sister.", And you understand the rules of inheritance?
Falyse is forty and barren., She still gets Castle Stokeworth when her father dies.
She does. Unless she happens to perish before her father. Then Lollys gets the castle., (scoffs.)
What? Ladies fall from their horses and snap their pretty necks all the time., You and my sister deserve each other. Why did you bother to come here?
"You once said if anyone ever asked me to sell you out, you'd double their price.", Is it two wives you want or two castles?
"One of each will do. But if you want me to kill the Mountain for you, it'd better be a damn big castle.", I'm a bit short on castles at the moment. But I can offer you gold and gratitude.
I have gold. What can I buy with gratitude?, You might be surprised. A Lannister always pays his debts.
"Your sister's a Lannister, too."," My wife is heir to Winterfell. If I emerge from this with my head still on my shoulders, I may one day rule the North in her name. I could carve you out a big piece of it."
"If and may and could. It's bloody cold up north. Lollys is soft and warm. And close. If I gave you the choice between fucking Lollys and fighting the Mountain, you'd have your britches down and your cock out before I could blink.", Does he frighten you so much?
"I'd be a bloody fool if he didn't frighten me. He's freakish big and freakish strong. And quicker than you'd expect for a man of that size. Maybe I could take him, dance around until he's so tired of hacking at me, he dropped his sword, get him off his feet somehow. But one misstep... and I'm dead. Why should I risk it?", Because you're my friend.
"I like you, pampered little shit that you are. I just like myself more.", I understand.
I'm sorry it has to be this way., Why are you sorry? Because you're an evil bastard with no conscience and no heart? That's what I liked about you in the first place.
We had some good days together.," Yes, we did."
What will you do?, I suppose I'll have to kill the Mountain myself. Won't that make for a great song?
I did spend some time with an absolutely stunning blonde the other day.," Mm, do tell. I've got every kind of filth down here except the kind I like."
Your sister., Oh.
Cersei approached me. We spoke a great deal about her daughter. How worried your sister is about her. She was trying very hard to pretend she had not come to sway me against you. I think she may have even believed it herself., Making honest feelings do dishonest work is one of her many gifts.
It was difficult for her to hide her true intentions. It is rare to meet a Lannister who shares my enthusiasm for dead Lannisters. She desperately wants to see you killed., She didn't need to bother you. It looks as though I've taken care of that myself. The joy she will feel when my head leaves my neck. She's wanted this for a long time.
"Yes, I know. We met, you and I. Many years ago.", I think I would have remembered that.
"Unlikely. You had just been born. Our father brought me and my sister Elia with him on a visit to Casterly Rock. My first time away from Dorne. I didn't like anything about the Rock. Not the food, not the weather, your accents. Nothing. But the biggest disappointment... you.", You and my family have more in common than you might admit.
"The whole way from Dorne all anyone talked about was the monster that had been born to Tywin Lannister. A head twice the size of his body, a tail between his legs, claws, one red eye, the privates of both a girl and a boy.", That would have made things so much easier.
"When we met your sister, she promised she would show you to us. Every day we would ask. Every day she would say, ""Soon."" Then she and your brother took us to your nursery and... she unveiled the freak. Your head was a bit large. Your arms and legs were a bit small, but no claw. No red eye. No tail between your legs. Just a tiny pink cock. We didn't try to hide our disappointment. ""That's not a monster,"" I told Cersei. ""That's just a baby."" And she said, ""He killed my mother."" And she pinched your little cock so hard, I thought she might pull it off. Until your brother made her stop. ""It doesn't matter,"" she told us. ""Everyone says he will die soon. I hope they are right. He should not have lived this long."""," Well... sooner or later, Cersei always gets what she wants."
And what about what I want? Justice for my sister and her children.," If you want justice, you've come to the wrong place."
Soon.," Do you think Oberyn has a chance? The Red Viper of Dorne. You don't get a name like that unless you're deadly, right?"
I've never seen him fight.," Oh, he's going to die. I'm going to die."
Oberyn believes in himself., That's putting it mildly. What's the punishment for regicide? Drawing and quartering? Hanging? Breaking at the wheel?
Beheading.," Seems rather ordinary. And he was my nephew as well, so what is that? Fratricide is brothers. Filicide is sons. Nepoticide. That's the one. Matricide, patricide, infanticide, suicide. There's no kind of killing that doesn't have its own word."
Cousins.," Cousins, you're right. There is no word for cousin killing. Well done. Do you remember cousin Orson? Orson Lannister?"
Of course. Wet-nurse dropped him on his head. Left him simple., Simple? Used to sit all day in the garden. Crushing beetles with a rock.
Khuu! Khuu! Khuu!, Nothing made him happier.
Nothing made you happier. You'd think being tormented from birth would have given you some affinity for the afflicted., On the contrary. Laughing at another person's misery was the only thing that made me feel like everyone else.
"The joke wore thin, though.", For you. You drifted away.
I had other interests.," Yes, other interests. But I stayed with Orson."
Why?," I was curious. Why was he smashing all those beetles? What did he get out of it? First thing I did was ask him. ""Orson, why are you smashing all those beetles?"" He gave me an answer. ""Smash the beetles. Smash 'em. Khuu! Khuu! Khuu!"" I wasn't deterred. I was the smartest person I knew. Certainly I had the wherewithal to unravel the mysteries that lay at the heart of a moron. So I went to Maester Volarik's library."
Volarik. Tried to touch me once.," Turns out, far too much has been written about great men and not nearly enough about morons. Doesn't seem right. In any case, I found nothing that illuminated the nature of Orson's affliction or the reason behind his relentless beetle slaughter. So I went back to the source. I may not have been able to speak with Orson, but I could observe him, watch him the way men watch animals to come to a deeper understanding of their behavior. *picks up a beetle* And as I watched, I became more and more sure of it. There was something happening there. His face was like the page of a book written in a language I didn't understand. But he wasn't mindless. He had his reasons. And I became possessed with knowing what they were. I began to spend inordinate amounts of time watching him. I would eat my lunch in the garden, chewing my mutton to the music of ""khuu, khuu, khuu"". And when I wasn't watching him, I was thinking about him. Father droned on about the family legacy and I thought about Orson's beetles. I read the histories of Targaryen conquests. Did I hear dragon wings? No. I heard ""khuu, khuu, khuu"" and I still couldn't figure out why he was doing it. And I had to know, because it was horrible that all these beetles should be dying for no reason."
"Every day around the world, men, women, and children are murdered by the score. Who gives a dusty fuck about a bunch of beetles?"," I know, I know. But still, it filled me with dread. Piles and piles of them, years and years of them. How many countless living crawling things smashed and dried out and returned to the dirt? In my dreams I found myself standing on a beach made of beetle husks stretching as far as the eye could see. I woke up crying, weeping for their shattered little bodies. I tried to stop Orson once."
He was twice your size.," He just pushed me aside with a ""khuu"" and kept on smashing. Every day until that mule kicked him in the chest and killed him. *puts the beetle back on the ground* So what do you think? Why did he do it? What was it all about?"
I like to move around., You could at least wear a helmet. You shouldn't drink before a fight.
You learn this during your years in the fighting pits? I always drink before a fight., It could get you killed. It could get me killed.
Size does not matter when you are flat on your back., Thank the gods.
Apologies., I still don’t see why I had to stay in this fucking crate once we set sail.
"I saved your life. If they catch you, they catch me. I cannot say I feel overly guilty about leaving you in that “fucking crate”.", Do you know what it’s like to stuff your shit through one of those air holes?
My lord?, I don’t think I am anymore. A lord. Are you a lord if you kill your father? I don’t suppose they revoke your nobility for killing a whore. That has to be happen all the time.
You already drank yourself across the Narrow Sea., In a box. Why stop now?
There are faster ways to kill yourself., Not for a coward.
"You are many things, my friend, but not a coward.", You never told me why you set me free.
Your brother asked me to., You could have said no.
Refuse the Kingslayer? A dangerous proposition.," Not as dangerous as releasing me. You risked your life, your position, everything. Why? You’re not family, you owe me nothing."
I didn’t do it for you. I did it for the Seven Kingdoms., A drunken dwarf will never be the savior of the Seven Kingdoms.
I don’t believe in saviors. I believe men of talent have a role to play in the war to come., You’re going to have to find another soldier. I’m done with Westeros and Westeros is done with me.
"You have many admirable qualities, self-pity is not one of them. Any fool with a bit of luck can find himself born into power. But earning it for yourself, that takes work.", I’m not well-suited for work.
"I think you are. You have your father’s instinct for politics, and you have compassion.", Compassion? Yes. I killed my lover with my bare hands. I shot my own father with a crossbow.
I never said you were perfect., What is it you want exactly?
Peace. Prosperity. A land where the powerful do not prey on the powerless.," Where the castles are made of gingerbread and the moats are filled with blackberry wine. The powerful have always preyed on the powerless, that’s how they became powerful in the first place."
"Perhaps. And perhaps we’ve grown so used to horror we assume there’s no other way. If you sat on the Iron Throne, would you spread misery throughout the land?", I will never sit on the Iron Throne.
"No, you won’t. But you could help another climb those steps and take that seat. The Seven Kingdoms need someone stronger than Tommen, but gentler than Stannis. A monarch who can intimidate the high lord and inspire the people. A ruler loved by millions with a powerful army and the right family name.", Good luck finding him.
"Who said anything about him? You have a choice my friend. You can stay here at Ilyrio’s palace and drink yourself to death, or you can ride with me to Mereen, meet Daenerys Targaryen, and decide if the world is worth fighting for.", Can I drink myself to death on the road to Meereen?
(Valyrian) A bit “rusty”., (Valyrian) “Rusty” (Common Tongue) Thank you.
None of that matters now. The longer we sit here bantering the longer Daenerys is out there in the wilderness.," He’s right. The dragon headed north. If we’re going to find her, that’s where we’re to go."
We? You’re a Lannister. The Queen intends to remove your family from power., And I intend to help her do it.
You’ve been here for how many days now? I’ve fought for her for years. Since she was little more than a child., You betrayed her!
Careful now.," And she exiled you, twice, I believe?"
The second time thanks to you.," Don’t blame me for your crimes, Mormont."
"(gestures to Tyrion) He’s right. The Queen exiled Jorah. (gestures to Jorah) And he’s right, Jorah saved her life. Perhaps she feels differently about him now. Perhaps not. The only way we’ll know is if we ask her."," Fine, fine, I suppose he can join us. Just as long as he promises not to kill me in my sleep."
"Forgive me, but why would we bring you?", Pardon me?
Have you ever tracked animals in the wilderness?," Not precisely, but I have other skills that’d be very useful--"
Can you fight?, I have fought. I don’t claim to be a great warrior.
Are you good on a horse?, Middling.
So mainly you talk?, And drink. I’ve survived so far.
I thought we were so happy together until you abandoned me., I suppose there’s no point in asking how you found me.
"The birds sing in the west, the birds sing in the east. If one knows how to listen. They tell me you’ve already found favor with the Mother of Dragons."," Well, she didn’t execute me, so that’s a promising start. Now the heroes are off to find her, and I’m stuck here, trying to placate a city on the brink of civil war. Any advice for an old comrade?"
Information is the key. You need to learn your enemies’ strengths and strategies. You need to learn which of your friends are not your friends., If only I knew someone with a vast network of spies.
"Yes, best be careful. You might accidentally consume some solid food."," When I agreed to come with you, did I misrepresent my intentions? (finishes his cup of wine) Besides, what is there for me to do inside this fucking box?"
You don't like it?, I want to take a walk.
You can't. Cersei has offered a lordship to the man who brings her your head.," She ought to offer her cunt. Best part of her for the best part of me. Well, I suppose a box is as good a place for me as anywhere."
Are we really going to spend the entire road to Volantis talking about the futility of everything?, You're right. No point. (realizing) The road to Volantis? You said we were going to Meereen. What's in Volantis?
The road to Meereen., And what do you hope to find at the end of the road to Meereen?
I told you. A ruler., We've already got a ruler. Everywhere has already got a ruler. Every pile of shit on the side of every road has someone's banner hanging from it.
"You were quite good, you know. At ruling. During your brief tenure as Hand.", I didn't rule. I was a servant.
"Still, a man of talent.", Managed to kill a lot of people.
"Yes, but showed great promise in other areas as well.", She wanted me to leave King's Landing. She begged me. I wouldn't go.
Why?, 'Cause I liked it. Power. Even as a servant. (takes a drink of wine)
People follow leaders. And they will never follow us. They find us repulsive., I find us repulsive.
"And we find them repulsive, which is why we surround ourselves with large, comfortable boxes to keep them away. And yet, no matter what we do, people like you and me are never really satisfied inside the box. Not for long.", You're right. Let's go for a walk.
No., How many dwarves are there in the world? Is Cersei going to kill them all?
Volantis is a large city., I have to get out of this wheelhouse.
The likelihood of you being spotted here increases a hundredfold.," Mm, I have to get out of this wheelhouse."
I'm not sure how many new ways I can find of saying this., (Walks over to him). I will not be of any use to Daenerys Targaryen if I lose my mind. I can't remember the last face I saw that wasn't yours.
It's a perfectly good face., I'm losing my mind.
"If anyone recognizes you, you'll lose more than that."," Look, we are thousands of miles from Westeros. (Pulls his hood up). What am I? (Varys shakes his head). One more drunk dwarf."
"(Valyrian) Bought and sold, (Varys approaches Tyrion), scourged and branded...", The only red priest we had in King's Landing was Thoros of Myr. This one's much better looking.
(Valyrian) The Lord of Light hears your voice. He hears the king as he hears the slave; he hears the Stone Men in their misery..., Stone men. Good luck stopping this spread of grayscale with prayer. You'd have better luck dancing away the plague. (Varys shushes him worriedly).
(Valyrian) He has sent you a saviour! From the fire she was reborn to remake the world! The Dragon Queen!, We're going to meet the Saviour! You should have told me. Who doesn't want to meet the Saviour?
(Valyrian) It’s good luck to rub a dwarf’s head., It's even better luck to suck a dwarf's cock.
Where're you going?, I need to speak to someone with hair.
Hello., You've got no drink.
You've got no money.," Do I look like a man without money? (She looks at him incredulously). Never trust looks. Until quite recently, I was one of the richest men in the world. (She laughs). But who needs wealth when you can make a woman laugh? (Sits down). I always pay my debts, I'm well known for it."
You like her? They all like her. They all want to fuck a queen., That’s because they’ve never met a queen.
You're just saying that.," You know how to spot a liar. If I could pick any girl here, I would pick you."
Why?, Because you have a skeptical mind.
Come on.," (After a moment). I'm, I'm sorry, I can't."
Of course you can. You're shy., I'm not.
Have another drink.," Gladly, but this, I can't do. Believe me, no one is more shocked than I am. I hope it passes. What will I do in my spare time? I’ll go for a piss, that’s a start."
Your captor., Do you have wine?
No., I can't sleep without wine.
Then stay awake., You're going the wrong way. My sister's in Westeros. Westeros is west! We're heading east.
I'm not taking you to your sister., You said you were taking me to the Queen.
I am. Queen Daenerys Targaryen. She's the Queen I serve., (Chuckles). What a waste of a good kidnapping. So happens I was heading there myself!
What business would you have with the Queen?," Gold and glory. Oh, and hate. If you've ever met my sister, you'd understand. So now that it's clear we're on the same side? (Holds out his hands expectantly. Jorah makes no move to respond). A high born knight from the North of Westeros, down on his luck in Essos. Dragon epaulettes? Bear sigil breast plate. You're Jorah Mormont. I have to ask how, exactly, were you serving your Queen in a whore house, half a world away? Is it possible, that you were running? Why would you be running? And why would she have sent you away? Oh, wait! You were spying on her, weren't you? It's all coming back to me! I was drunk through most of the Small Council meetings, but it's all coming back. You passed notes to Varys's little birds. She found out, didn't she? Found out, and exiled you. (Jorah looks downtrodden). And now you hope to win back her favor with a gift. A risky scheme. One might even say, desperate. Do you think Daenerys would execute me, and pardon you? I'd say the reverse is just as likely."
We are., What would make our time together truly enjoyable would be some wine.
No wine.," I am a person who drinks. People who drink need to keep drinking. Otherwise, they're not…"
I am., Have you sailed this route before?
No., You're going to bring Daenerys a souvenir from her ancestral homeland in case I'm not enough?
I think you'll be plenty., You know what they say. The Doom still rules Valyria. What about the demons and the flames? Aren't you afraid of the Doom?
No. But the pirates are., Oh.
And then they weren't.," And then they weren't. ""They held each other close and turned their backs upon the end. The hills that split asunder and the black that ate the skies; The flames that shot so high and hot that even dragons burned; Would never be the final sights that fell upon their eyes. A fly upon a wall, the waves the sea wind whipped and churned -"""
"""The city of a thousand years, and all that men had learned; The Doom consumed it all alike, and neither of them turned.""", I would clap.
Get behind!," Mormont, cut me free! (Jorah falls into the water). Mormont!"
You're heavier than you look. Did any of them touch you?," (Shakes his head). You? (Jorah shakes his head). I've seen greyscale before, but nothing like that."
I suppose that's why they send them there.," It'd be kinder to put daggers in their hearts and be done with it. (Jorah spits). Thank you for saving me. Of course, I wouldn't have needed saving if you hadn't kidnapped me in the first place. (Jorah gets up). So what now?"
"We walk, up the coast. With luck, we'll find a fishing village. Maybe another boat.", Without luck?
"We've got a long walk ahead of us. I'll get some wood for a fire. Try to get some rest, huh?", That's the best idea you've had all day.
I can., You’re not hungry?
Of course I’m hungry.," You’re an awful travelling companion, do you know that? Possibly the least charming man I have ever met."
I am not your travelling companion., We are travelling together. In each other’s company. Therefore…
Do you ever shut up?, I sailed from King’s Landing to Pentos in a crate. Without ever saying a word.
Why?, Never occurred to you to ask why until now? You never wondered why Tyrion Lannister decided to visit a brothel in Volantis.
I’m sure you’ve visited many brothels in many cities., I killed my father. He wanted to execute me for a crime I didn’t commit. And he was fucking the woman I loved.
What do you know about my father?," I met him. I visited the Wall. When I asked him about his men he knew all the stories, every one of them. He actually cared about the people in his command. How did they put it in the Watch? “We shall never see his like again.”"
How?, I only know what I heard
How?, He was leading an expedition beyond the wall. There was a mutiny. He was murdered by his own men.
Do you believe in anything?, I believe in many things.
"In something greater than ourselves, I mean. The Gods. Destiny. Do you believe there's a plan for this world?", No.
"Neither did I. I was a cynic, just like you. Then I saw a girl step into a great fire with three stone eggs. When the fire burned out I thought I’d find her blackened bones. Instead I found her. Daenerys. Alive and unhurt. Holding her baby dragons. Have you ever heard baby dragons singing?", No.
It's hard to be a cynic after that., Doesn’t mean she’s going to be a great queen.
No it doesn’t.," The Targaryens are famously insane. What if she conquers the world? Then what? 1,000 years of peace and prosperity?"
First we have to conquer the world.," We? Alright, let’s assume your dreams come true. She’s ecstatic when you bring her this enemy dwarf. She hacks off my head and restores your position. You command her army, sail to Westeros, defeat all your enemies, then watch as she climbs those steps and sits on the Iron Throne. Hurrah, long live the Queen. Then what?"
Then she rules., So a woman who has not spent a single day of her adult life in Westeros becomes the ruler of Westeros? That’s justice?
She is the rightful heir.," Why, because her father who burned living men for amusement was the king?"
Shh! It’s a slave ship, Why is it anchored?
It will be a dwarf-sized cock., Guess again.
"We’re bound to Volantis, not Slaver’s Bay. Besides, she reopened the fighting pits. I never heard of free men fighting in the pits."," The fighting puts in Mereen! You’re in luck then, you’re about to be rich. You are looking at one of the great warriors in the seven kingdoms."
Him? He’s got to be 60 years old.," Sure, he’s a bit long in the tooth, a bit withered, been in the sun too long. We can all see that. But he is a veteran of 100 battles. They wrote songs about him!"
Why?," We’re a team. I’m a great fighter, too."
Yes.," My Lord, if I may. I’ve heard Mereen’s become a free city. You might run into trouble if you try to fight slaves in the fighting pits. Now if you were to fight free men who were paid a wage…"
Who are you?," I am the gift. It’s a pleasure to meet you, Your Grace. My name is Tyrion Lannister."
You will not speak. How do I know you are who you say you are?, If only I were otherwise.
If you are Tyrion Lannister why shouldn’t I kill you? To pay your family back for what it did to mine, You want revenge against the Lannisters? I killed my mother Joanna Lannister the day I was born. I killed my father Tywin Lannister with a bow to the heart. I am the greatest Lannister killer of our time.
So I should welcome you into my service because you murdered members of your own family?, Into your service? Your Grace we have only just met. It’s too soon to know if you deserve my service.
If you’d rather return to the fighting pits just say the word.," When I was a young man I heard a story about a baby born during the worst storm in living memory. She had no wealth, no lands, no army, only a name and a handful of supporters, most of whom probably thought they could use that name to benefit themselves. They kept her alive, moving her from place to place, often hours ahead of the men who had been sent to kill her. She was eventually sold off to some warlord on the edge of the world and that appeared to be that. And then a few years later the most well informed person I knew told me that this girl without wealth, lands, or armies had somehow acquired all 3 in a very short span of time, along with three dragons. He thought she was our best, last chance to build a better world. I thought you were worth meeting at the very least."
And why are you worth meeting? Why should I spend my time listening to you?, Because you can not build a better world on your own. You have no one at your side who understands that land you want to rule. The strengths and the weaknesses of the houses that will either support or oppose you.
I have a very large army and very large dragons., Killing and politics aren’t always the same thing. When I served as Hand of the King I did quite well with the latter considering the king in question preferred torturing animals to leading his people. I could do an even better job advising a ruler worth the name.
So you want to advise me. Very well. (looks to Jorah) What would you have me do with him? I swore I would kill him if he ever returned., I know.
Why should the people trust a queen who can’t keep her promises?," Whomever Ser Jorah was when he started informing on you, he is no longer that man. I can’t remember seeing the same man as devoted to anything as he is to serving you. He claims he would kill for you and die for you, and nothing I have witnessed gives me reason to doubt him. And yet he did betray you."
"Yes, many opportunities.", And did he?
No. Not until forced to do so.," He worships you. He is in love with you, I think. But he did not trust you with the truth - an unpleasant truth, to be sure - but one of great significance to you. He did not trust that you would be wise enough to forgive him."
So I should kill him?," A ruler who kills those that are devoted to her is not a ruler that inspires devotion. And you’re going to need to inspire devotion, and lots of it, if you’re ever going to rule across the Narrow Sea. But you cannot have him by your side when you do."
So have you decided yet? Whether I’m worthy of your service?, Have you decided yet whether you’re going to have me killed?
It’s probably my safest option., I can see why you would think so. It’s what your father would have done.
And what would your father do?, My father? Who publicly sentenced me to death? I’d say his thoughts on having me killed were abundantly clear.
Is that why you killed him?," Some day if you decide not to execute me, I’ll tell you all about why I killed my father. And on that day, should it ever come, we’ll need more wine than this."
I know what my father was. What he did. I know the Mad King earned his name.," So here we sit, two terrible children of two terrible fathers."
I’m terrible?, I’ve heard stories.
Why did you travel to the other side of the world to meet someone terrible?, To see if you were the right kind of terrible.
Which kind is that?, The kind that prevents your people from being even more so.
I did reopen the fighting pits. Under my rule murder will once again become entertainment.," Yes, that was wise. And you agreed to marry someone you loathed for the greater good. Very impressive. My own sister married someone she loathed as well, though not by choice and certainly not for the greater good, Gods forbid. She ended up having him killed."
Perhaps it won’t come to that., It’s not impossible that Varys was right about you after all.
Varys? King Robert’s spy master?, Yes. He was the one who convinced me to come find you. He was my travelling companion before Ser Jorah seized that role for himself.
Jorah sent my secrets to Varys. For 20 years the spider oversaw the campaign to find and kill me., He did what he had to do to survive. He did a lot of other things that he didn’t have to do. I suspect he’s the main reason you weren’t slaughtered in your crib.
But you trust him?," Yes, oddly. He might be the only person in the world that I trust. Besides my brother."
The brother who killed my father., That’s the one.
Perhaps I will have you killed after all.," Your queenly prerogative. I had given up on life until Varys convinced me you might be worth living for. You chop off my head? Well, my final days were interesting."
I’m not going to kill you., No? Banish me?
No.," So if I’m not going to be murdered, and I’m not going to be banished..."
You’re going to advise me. (takes his wine cup) While you can still speak in complete sentences., Advise you on what?
How to get what I want., The Iron Throne. Perhaps you should try wanting something else.
If I want jokes I’ll get myself a proper fool., I’m not entirely joking. There’s more to the world than Westeros after all. How many hundreds of thousands of lives have you changed for the better here? Perhaps this is where you belong. Where you can do the most good.
I fought so that no child born into Slaver’s Bay would ever know what it was like to be bought or sold. I will continue that fight here and beyond. But this is not my home.," And when you get back to your home, who supports you?"
The common people.," Let’s be generous and assume that’s going to happen. Here in Slaver’s Bay you had the support of the common people and only the common people. What was that like, ruling without the rich? House Targaryen is gone, not a single person who shares your blood is alive to support you. The Starks are gone as well, our two terrible fathers saw to that. The remaining Lannisters won’t back you, not ever. Stannis Baratheon won’t back you either, his entire claim to the Throne depends on the illegitimacy of yours. That leaves the Tyrells. Not impossible, but not enough."
